polled_at_utc,states
2026-09-14T15:01:06,OOOVOOVVVVVOOOVOOVVOOVVvvVVVOVVVVVVOVOOOOOOOVOVOOOOOOOO
2026-09-14T15:06:07,OOOVOOVVVVVOOOVOOVVOOVVvvVVVOVVVVOVVOVOOOOOOOOVOOOOOOOO
2026-09-14T15:11:09,OOOVOOVVOVVOOOVOOVVVOVVvvVVVOVVVVOVVOVOOOOOOOOVOOOOOOOO
2026-09-14T15:16:09,OOOVOOVVOVVOOOOOOVVVOVVvvVVVOVVVVOVVOVOOOOOOOOVOOOOOOOO
2026-09-14T15:21:10,OOOVOOVVOVVOOOOOOVVVOVVvvVVVOVVVOOVVOVOOOOOOOOOOOOOOOOO
2026-09-14T15:26:11,OOOVOOVVOVVOOOOOOVVVOVVvvVVVOVVOOOVVOOOOOOOOVOOOOOOOOOO
2026-09-14T15:31:15,OOOVOOVVOOVOOOOOOVVVOVVvvVVVOVVOOOVVOOOOOOOOVOOOOOOOOOO
2026-09-14T15:36:16,OOOVOOVVOVOOOOOOOVVVOVVvvVVVOVOOOOVOOOOOOOOOVOOOOOOOOOO
2026-09-14T15:41:20,OOOVOOVVOVVOOOOVOVVVOVVvvVVVOVOOOOOOOOOOOOOOVOOOOOOOOOO
2026-09-14T15:46:20,OOOVOOVVOVVOOOOVOOOVOVVvvVVVOVOOOOOOOOOOOOOOOOOOOOOOOOO
2026-09-14T15:51:21,OOOVOOVVOVVOOOOVOOOVOVVvvVVVOOOOOOOOOOOOOOOOOOOOOOOOOOO
2026-09-14T15:56:22,OOOVOOVVOVVOOOOVOOOOOVVvvVVVOVOOOOOOOOOOOOOOOOOOOOOOOOO
2026-09-14T16:01:26,OOOOOOVVOVVOOOOVOOOOOVVvvVVVOVVOOOOOOOOOOOOOOOOOOOOOOOO
2026-09-14T16:06:27,OOOVOOVVOVVOOOOVOOOOOVOvvVVVOVVOOOOOOOOOOOOOOOOOOOOOOOO
2026-09-14T16:11:28,OOOVOOVVOVVOOOOVOOOOOVOOvOVVOOOOOOOOOOOOOOOOOOOOOOOOOOO
2026-09-14T16:16:30,OOOVOOVVOVVOOOOVOOOOOOOOvOVVOOOOOOOOOOOOOOOOOOOOOOOOOOO
2026-09-14T16:21:31,OOOVOVVVOOVOOOOVOOOOOOOOvOOVOOOOOOOOOOOOOOOOOOOOOOOOOOO
2026-09-14T16:26:32,OOOVOVVVOOVOOOOVOOOOOOOOvOOVOOOOOOOOOOOOOOOOOOOOOOOOOOO
2026-09-14T16:31:33,OOOVOVVVOOVOOOOVOOOOOOOOvOOVOOOOOOOOOOOOOOOOOOOOOOOOOOO
2026-09-14T16:36:41,OOOVVVVVOOOOOOOVOOOOOOOOvOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
2026-09-14T16:41:43,VOOVVVVVVOOOOOOVOOOOOOOOvOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
2026-09-14T16:46:44,VOOVVVVVVOOOOOOVOOOOOOOOvOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
2026-09-14T16:51:45,VOOVVVVVVOOOOOOVOOOOOOOOvOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
2026-09-14T16:56:49,OOOVVVVVVOOOOOOVOOOOOOOOvOOOOOOOVOOOOOOOOOOOOOOOOOOOOOO
2026-09-14T17:01:49,OOOVVVVVVOOOOOOVOOOOOOOOvOOOOOOOOOOVOOOOOOOOOOOOOOOOOOO
2026-09-14T17:06:50,OOOVVVVVVOOOOOOVOOOOOOOOvOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
2026-09-14T17:11:51,OOVVVVVVVOOOOOOVOOOOOOOOvOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
2026-09-14T17:16:52,OOVVVVVVVOOOOOOVOOOOOOOOvOOOOOOOOOOOOOOOVVOOOOOOOOOOOOO
2026-09-14T17:21:53,OVVVVOVVVOOOOOOVOOOOOOOOvOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
2026-09-14T17:26:54,VVVVVVVVVOOOOOOVOOOOOOOOvOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
2026-09-14T17:31:55,VVVVVVVVVOOOOOOVOOOOOOOOvOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
