polled_at_utc,states
2026-09-10T00:01:31,OOOVOVOOVVVOOOOOVOOOOOOOVOOOOVOOOOOVOOOOVOOOOOOOOVVVOVV
2026-09-10T00:06:33,OOVOOVOOVVVOOOOOVOOOOOOOVOOOOVOOOOOVOOOOVOOOOOOOOVVVOVV
2026-09-10T00:11:34,OOOOOVOOVVVOOOOOVOOOOOOOVOOOOVOOOOOVOOOOVOOOOOOOOOVVOVV
2026-09-10T00:16:35,OOOOOVOOVVVOOOVOVVOOOOOOVOOOOVOOOOOVOOOOVOOOOOOOOOVVOVV
2026-09-10T00:21:36,OOOOOVOOVVOOOOVOVVOOOOOOVOOOOVOOOOOVOOOOVOOOOOOOOOVVOVV
2026-09-10T00:26:37,OOOOOVOOVVOOOOVOVVOOOOOOVOOOOVOOOOOVOOOOVOOOOOOOOOVVOVV
2026-09-10T00:31:38,VOOOOVOOVVOOOOVVVVOOOOOOVOOOOVOOOOOVVOOOVOOOOOOOOOVVVVV
2026-09-10T15:00:15,VVVVVOVVOOOVOOOVVVVVVVVVvVVVoVOOOVVOOVOVOOOOOOOOOOOOOOO
2026-09-10T15:05:17,VVVVVVVVVVOVOOOVVVVVVVVVvVVVoOOOOVVOOVOVVOOOOOOOOOOOOOO
2026-09-10T15:10:18,VVVVVVVVVVOVOOOOVVVVVVVVvVVVoOOOOVVOOVOVVOOOOOOOOOOOOOO
2026-09-10T15:15:22,VVVVVVVVVVOVOVOOVVOVVVVVvVVVoOOOVVVOOOOVVOOOOOOOOOOOOOO
2026-09-10T15:20:23,VVVVVVVVVVOVOVOOVVOVOVVVvVVVoOOOVVVOOOOVVOOOOOOOOOOOOOO
2026-09-10T15:25:24,VVVVVVVVVVOVOVOOVVOVVOVVvVVVoOOOVVVOOOOVVOOOOOOOOOOOOOO
2026-09-10T15:30:25,VVVVOVVVVVOVOVOOVVOVVOVVvVVVoOOOVVVOOOOVVOOOOOOOOOOOOOO
2026-09-10T15:35:40,VOVVOVVVOOOOOVOOVVOVVVVVvVVVoOOOVVOOOOOVOOOOOOOOOOOOOOO
2026-09-10T15:40:41,VOVVOVVVOOOOOVOOVVVVVVVVvVVVoOOOVOOOOOOVOOOOOOOOOOOOOOO
2026-09-10T15:45:42,VOVVOVVVVVVOOVOOOVVVOVVVvVVVoOOOVOOOOOOVOOOOOOOOOOOOOOO
2026-09-10T15:50:43,VOVVOVVVVVVOOVOOOVVVOVVVvVVVoOOOOOOOOOOVOOOOOOOOOOOOOOO
2026-09-10T17:05:12,VOOVOOVVOOOOOVOOOOOVOOOOvOOOoOOOOOOOVOOOOOOOOOOOOOOOOOO
2026-09-10T17:14:44,VOOVOOOVOOOOOVOOOOOVOOOOvOOOoOOOOOOOOOOOOOOOOOOOOOOOOOO
2026-09-10T17:19:45,VOOVOVOVOOOOOVOOOOOVOOOOvOOOoOOOOOOOOOOOOOOOOOOOOOOOOOO
2026-09-10T17:24:46,VOOVOOOOOOOOOVOOOOOVOOOOvOOOoOOOOOOOOOOOOOOOOOOOOOOOOOO
2026-09-10T17:29:47,VOOOOOOOOOOOOVOOOOOVOOOOvOOOoOOOOOOOOOOOOOOOOOOOOOOOOOO
2026-09-10T17:34:47,VOOOOOOOOOOOOVOOOOOVOOOOvOOOoOOOOOOOOOOOOOOOOOOOOOOOOOO
2026-09-10T17:39:49,VOOOVOVOOOOOOVOOOOOVOOOOvOOOoOOOOOOOOOOOOOOOOOOOOOOOOOO
2026-09-10T17:44:49,OOOOVOVOOOOOOVOOOOOVOOOOvOOOoOOOOOOOOOOOOOOOOOOOOOOOOOO
2026-09-10T17:49:50,OOOVOOVOOOOOOVOOOOOVOOOOvOOOoOOOOOOOOOOOOOOOOOOOOOOOOOO
2026-09-10T17:54:51,VOOVOOVOOOOOOVOOOOOVOOOOvOOOoOOOOOOOOOOOOOOOOOOOOOOOOOO
2026-09-10T17:56:08,VOOVOOVOOOOOOVOOOOOVOOOOvOOOoOOOOOOOOOOOOOOOOOOOOOOOOOO
2026-09-10T18:00:03,OOOOOOVOOOOOOVOOOOOVOOOOvOOOoOOOOOOOOOOOOOOOOOOOOOOOOOO
2026-09-10T18:05:04,OOOOOOVOOOOOOVOOOOOVOOOOvOOOoOOOOOOOOOOOOOOOOOOOOOOOOOO
2026-09-10T18:10:06,OOOOOOVOOOOOOVOOOOOVOOOOvOOOoOOOOOOOOOOOOOOOOOOOOOOOOOO
2026-09-10T18:15:08,OOOOOOVOOOOOOVOOOOOVOOOOvOOOoOOOOOOOOOOOOOOOOOOOOOOOOOO
2026-09-10T18:20:09,OOOOOOVOOOOOOVOOOOOVOOOOvOOOoOOOOOOOOOOOOOOOOOOOOOOOOOO
2026-09-10T18:25:10,OOOOOOOOOOOOOVOOOOOVOOOOvOOOoOOOOOOOOOOOOOOOOOOOOOOOOOO
2026-09-10T18:40:16,OOOOOOVOOOOOOVOOOOOVOOOOvOOOoOOOOOOOOOOOOOOOOOOOOOOOOOO
2026-09-10T18:45:17,OOOOOOOOOOOOOVOOOOOVOOOOvOOOoOOOOOOOOOOOOOOOOOOOOOOOOOO
2026-09-10T18:50:18,OOOVOOOOOOOOOVOOOOOVOOOOvOOOoOOOOOOOOOOOOOOOOOOOOOOOOOO
2026-09-10T18:55:19,OOOVOOVOOOOOOVOOOOOVOOOOvOOOoOOOOOOOOOOOOOOOOOOOOOOOOOO
2026-09-10T19:00:21,OOOVOOVOOVOOOVOOOOOVOOOOvOOOoOOOOOOOOOOOOOOOOOOOOOOOOOO
2026-09-10T19:05:23,OOOOOOOOOOOOOVOOOOOVOOOOvOOOoOOOOOOOOOOOOOOOOOOOOOOOOOO
2026-09-10T19:10:24,OOOOOOVOOOOOOVOOOOOVOOOOvOOOoOOOOOOOOOOOOOOOOOOOOOOOOOO
2026-09-10T19:15:25,OOOOOOVOOOOOOVOOOOOVOOOOvOOOoOOOOVOOOOOOOOOOOOOOOOOOOOO
2026-09-10T19:20:26,OOOOOOVOOOOOOVOOOOOVOOOOvOOOoOOOOOOOOOOOOOOOOOOOOOOOOOO
2026-09-10T19:25:27,OOOOOOOOOOOOOVOOOOOVOOOOvOOOoOOOOOOOOOOOOOOOOOOOOOOOOVO
2026-09-10T19:30:28,OOOOOOVOOOOOOVOOOOOVOOOOvOOOoOOOOOOOOOOOOOOOOOOOOOOOVVO
2026-09-10T19:35:29,VOOOOOVOOOOOOVOOOOOVOOOOvOOOoOOOOOOOOOOOOOOOOOOOOOOOVOO
2026-09-10T19:40:30,VOOVOOVOOVOOOVOOOOOVOOOOvOOOoOOOOOOOOOOOOOOOOOOOOOOOOOO
2026-09-10T19:45:31,VOOVOOVOOVOOOVOOOOOVOOOOvOOOoOOOOOOOOOOOOOOOOOOOOOOOOOO
2026-09-10T19:50:32,VOOVOOVOOVOOOVOOOOOVOOOOvOOOoOOOVOOOOOOOOOOOVOVOOOOOOOO
2026-09-10T19:55:35,VOOOOOVOOVOOOVOVOOOVOOOOvOOOoOOOVOOOOOOOOOOOOOOOVOOOOVO
