polled_at_utc,states
2026-09-11T16:08:15,VVVVVVVVOVOVOOOOVVOOOVOVvVVVOOVOVOOVOOOOOOOOOOOOOOOOOOO
2026-09-11T16:51:58,OVVOVVOOOVVOOOOOVVOOOOOOvVVVOOVOVOOOOOOOOOOOOOOOOOOOOOO
2026-09-11T16:57:00,OVVOVVOOOVVOOOOOVVOOOOOOvVVVOOVOVOOOOOOOOOOVOOOOOOOOOOO
2026-09-11T17:02:05,OVVOVVVVOVVOOOOOVVOOOOOOvVVVOOVOVOOOOOOOOOOVOOOOOOOOOOO
2026-09-11T17:07:06,OVVOVVVVOVVOOOOOVVOOOOOOvVVVOOVOVOOOOOOOOOOOOOOOOOOOOOO
2026-09-11T17:12:07,OVVOVVVVOVVOOOOOVVOOOOOOvVVVOOVOOOOOOOOOOOOOOOOOOOOOOOO
2026-09-11T17:17:08,OVVOVVVVOVVOOOOOVVOOOOOOvVVVOOVOOOOOOOOOOOOOOOOOOOOOOOO
2026-09-11T17:22:09,OVVOVVVVOVOOOOOOVVOOOOOOvVVVVOVOOOOOOOOOOOOOOOOOOOOOOOO
2026-09-11T17:27:10,OVVOVVVVOVOOOOOOOVOOOOOOvVVVVOVVOOOOOOOOOOOOOOOOOOOOOOO
2026-09-11T17:32:11,OOVOVVVVOVOOOOOOOOOOOOOOvVVVVOVVOOOOOOOOOOOOOOOOOOOOOOO
2026-09-11T17:37:19,OVVOVVVVOVOOOOOOVOOOOOOOvOOVVOVVOOOOOOOOOOOOOOOOOOOOOOO
2026-09-11T17:42:20,OVVOVVVVOVOOOOOOOOOOOOOOvOVVVOVOOOOOOOOOOOOOOOOOOOOOOOO
2026-09-11T17:47:21,OVVOVVVVOVOOOOOOOOOOOOOOvOVVVOVOOOOOOOOOOOOOOOOOOOOOOOO
2026-09-11T17:52:22,OVVOVVVVOVVOOOOVOOOOOOOOvOOVVOVOOOOOOOOOOOOOOOOOOOOOOOO
2026-09-11T17:57:23,VVVOVVVVOVOOOOOVOOOOOVOOvOOVVOVOVOOOOOOOOOOOOOOOOOOOOOO
2026-09-11T18:02:24,VVVOVVVVVVOOOOOVOOOOOOOOvOOVVOVOOOOOOOOOOOOOOOOOOOOOOOO
