polled_at_utc,states
2026-09-14T15:00:20,OOOVOOVVVVVOOOVOOVVVOVVvvVVVOVVVVVVOVOOOOOOOVOVOOOOOOOO
2026-09-14T15:05:14,OOOVOOVVVVVOOOVOOVVOOVVvvVVVOVVVVOVVOVOOOOOOOOVOOOOOOOO
2026-09-14T15:10:14,OOOVOOVVOVVOOOVOOVVVOVVvvVVVOVVVVOVVOVOOOOOOOOVOOOOOOOO
2026-09-14T15:15:13,OOOVOOVVOVVOOOOOOVVVOVVvvVVVOVVVVOVVOVOOOOOOOOVOOOOOOOO
2026-09-14T15:20:13,OOOVOOVVOVVOOOOOOVVVOVVvvVVVOVVVOOVVOVOOOOOOOOOOOOOOOOO
2026-09-14T15:25:13,OOOVOOVVOVVOOOOOOVVVOVVvvVVVOVVOOOVVOVOOOOOOVOOOOOOOOOO
2026-09-14T15:30:16,OOOVOOVVOOVOOOOOOVVVOVVvvVVVOVVOOOVVOOOOOOOOVOOOOOOOOOO
2026-09-14T15:35:11,OOOVOOVVOOVOOOOOOVVVOVVvvVVVOVOOOOVOOOOOOOOOVOOOOOOOOOO
2026-09-14T15:40:12,OOOVOOVVOVVOOOOVOVVVOVVvvVVVOVOOOOOOOOOOOOOOVOOOOOOOOOO
2026-09-14T15:45:11,OOOVOOVVOVVOOOOVOOOVOVVvvVVVOVOOOOOOOOOOOOOOOOOOOOOOOOO
2026-09-14T15:50:19,OOOVOOVVOVVOOOOVOOOVOVVvvVVVOVOOOOOOOOOOOOOOOOOOOOOOOOO
2026-09-14T15:55:10,OOOVOOVVOVVOOOOVOOOOOVVvvVVVOVOOOOOOOOOOOOOOOOOOOOOOOOO
2026-09-14T16:00:18,OOOOOOVVOVVOOOOVOOOOOVVvvVVVOVVOOOOOOOOOOOOOOOOOOOOOOOO
2026-09-14T16:05:12,OOOVOOVVOVVOOOOVOOOOOVOvvVVVOVVOOOOOOOOOOOOOOOOOOOOOOOO
2026-09-14T16:10:15,OOOVOOVVOVVOOOOVOOOOOVOvvOVVOVOOOOOOOOOOOOOOOOOOOOOOOOO
2026-09-14T16:15:11,OOOVOOVVOVVOOOOVOOOOOOOOvOVVOOOOOOOOOOOOOOOOOOOOOOOOOOO
