polled_at_utc,states
2026-09-17T15:00:18,VOVVVOVVOVVVOOOVOOVVoVVVvVVVOVOVOOOOOVOOOOVOVOOOOOVOOOOOOOoOOVOVVOoVVVVOOOoVOVOVOOO?Oo?OOOOOOO?VVOOOOV?OOOOOOOOOOOOOOoOOVOOOOOOOoOOVVVVVVOVVOOVVVVVVOVOVVV?OOOOOOOOOOOOOVOOOOOOOOOOO?OOOVVVVVVVVVOVVVVOOVOOVVVVVVVVOVVV?VOOVOVOOOOVVVVVOOOOoOOVVOOOOVOOO
2026-09-17T15:05:12,VVOVVVVVOVVVOOOVOOVVoVVVvVVVOVOVOOOOOVOOOOVOVOOOOOVOOOOOOOoOOVOVVOoVVVVOOOoVOVOVOOO?Oo?OVOOOOO?VVOOOOV?VOOOOOOOOOOOOOoOOVOOOVOOOoOOVVOVVVOVVOOVVVVVVOVOVVO?OOOOOOOOVOVVVVOOVOOOOOOOO?OVVVVVVVVVVVOVVVVVOVVVVVVVVVVVOVVV?VOOOOVOOOOVVVOVOOOOoOOVVOOOOVOOO
2026-09-17T15:10:16,VVVVVVVVOVVVOOOVOOVVoVVVvVVVOVOVOOOOOVOOOOVOVOOOOOVOOOOOOOoOOVOVVOoVOVVOOOoVOVOVOOO?Oo?OVOOOOO?VVOOOOV?VOOOOOOOOOOOOOoOOOOOOVOOOoOOOVOVVVOVVOOVVVVVVVVOVVO?OVOOVOVOVOOVOOOOVOOOOOOOV?OVVVVVVVVVVVOVVVVVVVVVVVVOVVVVOVOV?VOOOOVOOOOVVOOVOVOOoOOVVOOOOVOOO
2026-09-17T15:15:12,VVVVVVVVOVVVOOOVOOVVoVVVvVVVOVOVVOOOOVOOOOVOOOOOOOVOOOOOOOoOOVOOVOoVOVVOOOoVOVOVOOO?Oo?OVOOOOO?OVOOOOO?VOOOOOOOOOOOOOoOOOOOOOOOOoOOOVOVVVOVVOOVVVVVVVVOVOO?OVVOVVVOVOOVOOOOOOOOOOOOV?OOVVVVVVVVVVOVVVVVOVVVVVVOVVVVOVOV?VOOOOVOOOOVVOOVOVOOOOVVVOOOOVOOO
2026-09-17T15:20:15,VOVVVVVVOVVVOOOVOOVVoVVVvVVVOVOVVOOOOVOOOOVOOOOOOOVOOOOOOOoOOVOVOOoVOVVOOOoVOVOVOOO?Oo?OVOOOOO?OVOOOOO?VOOOOOOOOOOOOOoOOOOOOOOOOoOOOVOVVVOVVOOVVVVVVVVOVVO?OVVOVVVVVOVOOOOOOOOOOOVOV?OVVVVVVOVVVVOVVVVVOVVVVVVOVVVVOVOV?VOOOOVOOOOVVOOVOVOOOOVVVOOOOVOOO
2026-09-17T15:25:12,VOVVVVVVVVVOOOOOOOVVoVVVvVVVOVOVVOOOOOOOOOVOOOOOOOVOOOOOOOoOOVOVVOoVOVVOOOoVOVOVOOO?Oo?OOOOOOO?OVOOOOO?VOOOOOOOVVOOOOoOOOOOOOOOOoOOVVOVVVOVVOOVVVVVVVVOVVO?VVVOVVVVVOVOVOOOOVOOOOVOO?OOVVVVVOVVVVOVVVVVOVVVVVVVVVVVOVOO?VOOOOVOOOOVVOOVOVOOOOOOVOOOOVOOO
2026-09-17T15:30:18,VOVVVVVVOVVOOOOOOOVVoVVVvVVVOVOVVOOOOOOOOOVOOOOOOOVOOOOOOOoOOVOVVOoVOOVOOOoVOVOOOOO?Oo?OOOOOOO?OVOOOOO?VOOOOOOOVVOOOOoOOOOOOOOOOoOOVVOVVVOVVOOVVVVVVOVOVVO?VVVOVVVVVOOOVOOOVOOOOOVOO?OOVVVVVOVVVVOVVVVVOVVVVVVVVVVVOVOO?VOOOOVOOOOVVOOVOVOOOOOVVOOOOOOOO
2026-09-17T15:35:11,VOVVVVVVOVVOOOOOOOVVoVVVvVVVOOOVOOOOOOOOOOVOOOOOOOVOOOOOOOoOOOOVVOoVOOOOOOoVOVOOOOO?Oo?OOOOOOO?OOOOOOO?VOOOOOOOVVOOOOoOOOOOOOOOOoOOVVOVVVOVVOOVVVVVVOVOVVO?VOVOVOVVOVOOVOOOOOOOOOOOO?OOVVVVVOVVVVOVVVVVVVVVVVVVVVVVOOOO?VOOOOVOOOOVVOOVOVOOOOOOVOVOOOOOO
2026-09-17T15:40:13,VOVVVVVVOVOOOOOOOOOVoVVVvVVVOOOVOOOOOOOOOOVOOOOOOOVOOOOOOOoOOOOVVOoVOOOOOOoVOVOOOOO?Oo?OOOOOOO?OOOOOOO?VOOOOOOOVVOOOOoOOOOOOOOOOoOOVVOVVVOVVOVVVVVVVOVOVVO?OOOOVOVOOOOOOVOOOOOOOOVOO?OOOVVVVOVVVVOVVVVVVVVVVVVVVVVVOOOO?VOOOOOOOOOVOOVVOVOOOOOOVOVOOOOVO
2026-09-17T15:45:14,OOOVVVVVOVOOOOOOOOOOoVOOvVVVOOOVOOOOOOOOOOVOOOOOOOVOOOOOOOoOOOVVVOoVOOOOOOoVOVOOOOO?Oo?OOOOOOO?OVOOOOO?VOOOOOOOVVOOOOoOOOOOOOOOOoOOVOOVVVOVVOVVVVVVVOOOVVO?OOVVOVVOOOOVOOOOOOOOOOVOO?OOVVVVVOVVVVOVVVVVVVVVVOVVVVVVOOOO?VOVOOOOOOOVOOVVOVOOOOOOVOVOOOOVO
